Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
Massachusetts Financial Services ...,1.37%,"5,146,313","856,809,651","-360,131",-6.54%,SYK
"The Vanguard Group, Inc.",10.73%,"5,531,176","835,650,070","-20,416",-0.37%,SIVB
"SSgA Funds Management, Inc.",5.28%,"2,719,793","410,906,326","+36,742",+1.37%,SIVB
BlackRock Fund Advisors,4.87%,"2,510,920","379,349,794","+26,280",+1.06%,SIVB
Capital Research & Management Co....,3.11%,"1,603,085","242,194,082","-27,216",-1.67%,SIVB
"JPMorgan Investment Management, I...",2.41%,"1,243,724","187,901,822","+103,706",+9.10%,SIVB
Capital Research & Management Co....,2.30%,"1,187,657","179,431,220",+193,+0.02%,SIVB
RBC Global Asset Management (UK) ...,2.03%,"1,046,589","158,118,666","+40,137",+3.99%,SIVB
APG Asset Management NV,1.94%,"997,596","150,716,804","+222,100",+28.64%,SIVB
Geode Capital Management LLC,1.86%,"957,419","144,646,863","+29,831",+3.22%,SIVB
Fisher Asset Management LLC,1.63%,"838,752","126,718,652","-168,131",-16.70%,SIVB
"The Vanguard Group, Inc.",8.48%,"52,014,626","836,915,332","-654,269",-1.24%,SYF
GIC Pte Ltd. (Investment Manageme...,6.83%,"41,907,785","674,296,261","-13,560,478",-24.45%,SYF
Fidelity Management & Research Co...,5.56%,"34,081,037","548,363,885","-1,269,215",-3.59%,SYF
BlackRock Fund Advisors,4.87%,"29,853,793","480,347,529","-1,128,565",-3.64%,SYF
"SSgA Funds Management, Inc.",4.44%,"27,245,288","438,376,684","-182,402",-0.67%,SYF
"Berkshire Hathaway, Inc. (Investm...",3.39%,"20,803,000","334,720,270",0,0.00%,SYF
Janus Capital Management LLC,2.53%,"15,535,671","249,968,946","-4,050,848",-20.68%,SYF
AQR Capital Management LLC,2.21%,"13,575,077","218,422,989","-2,764,651",-16.92%,SYF
Geode Capital Management LLC,1.98%,"12,133,388","195,226,213","+1,486,087",+13.96%,SYF
APG Asset Management NV,1.91%,"11,729,773","188,732,048","-257,084",-2.14%,SYF
"The Vanguard Group, Inc.",11.39%,"17,112,950","2,203,976,831","+413,628",+2.48%,SNPS
BlackRock Fund Advisors,5.54%,"8,316,129","1,071,034,254","-477,288",-5.43%,SNPS
"T. Rowe Price Associates, Inc. (I...",5.46%,"8,206,918","1,056,968,969","-786,728",-8.75%,SNPS
"SSgA Funds Management, Inc.",4.40%,"6,605,573","850,731,747","+14,664",+0.22%,SNPS
"JPMorgan Investment Management, I...",4.10%,"6,156,027","792,834,717","-159,774",-2.53%,SNPS
Parnassus Investments,2.51%,"3,771,849","485,776,433","-434,668",-10.33%,SNPS
Columbia Management Investment Ad...,2.07%,"3,110,904","400,653,326","-58,048",-1.83%,SNPS
Pictet Asset Management SA,1.96%,"2,940,761","378,740,609","+273,314",+10.25%,SNPS
Geode Capital Management LLC,1.84%,"2,766,857","356,343,513","+91,215",+3.41%,SNPS
Swedbank Robur Fonder AB,1.46%,"2,193,682","282,524,305","-334,576",-13.23%,SNPS
"The Vanguard Group, Inc.",9.12%,"46,397,220","2,117,105,149","+524,079",+1.14%,SYY
"SSgA Funds Management, Inc.",5.18%,"26,351,821","1,202,433,592","-395,903",-1.48%,SYY
Trian Fund Management LP,4.66%,"23,676,143","1,080,342,405","+4,540",+0.02%,SYY
BlackRock Fund Advisors,4.65%,"23,639,551","1,078,672,712","+30,558",+0.13%,SYY
Wellington Management Co. LLP,3.72%,"18,936,515","864,073,179","-271,620",-1.41%,SYY
Janus Capital Management LLC,1.89%,"9,603,984","438,229,790","+2,091,470",+27.84%,SYY
Parnassus Investments,1.61%,"8,159,515","372,318,669","+110,167",+1.37%,SYY
Wells Fargo Clearing Services LLC,1.50%,"7,628,681","348,096,714","+82,473",+1.09%,SYY
"Northern Trust Investments, Inc.(...",1.47%,"7,495,771","342,032,031","-172,061",-2.24%,SYY
Geode Capital Management LLC,1.38%,"7,026,718","320,629,142","+222,256",+3.27%,SYY
Capital Research & Management Co....,2.57%,"31,804,808","2,668,423,391","+2,102,896",+7.08%,TMUS
Fidelity Management & Research Co...,2.30%,"28,409,011","2,383,516,023","-368,822",-1.28%,TMUS
"The Vanguard Group, Inc.",1.88%,"23,195,165","1,946,074,344","+98,886",+0.43%,TMUS
BlackRock Fund Advisors,1.40%,"17,277,730","1,449,601,547","+54,982",+0.32%,TMUS
"SSgA Funds Management, Inc.",1.19%,"14,758,582","1,238,245,030","+287,303",+1.99%,TMUS
Norges Bank Investment Management,0.81%,"10,025,361","841,127,788","+269,786",+2.77%,TMUS
Neuberger Berman Investment Advis...,0.53%,"6,585,030","552,484,017","+209,054",+3.28%,TMUS
Wellington Management Co. LLP,0.52%,"6,396,969","536,705,699","+2,917,995",+83.88%,TMUS
"T. Rowe Price Associates, Inc. (I...",0.42%,"5,165,610","433,394,679","-4,823",-0.09%,TMUS
Geode Capital Management LLC,0.41%,"5,072,148","425,553,217","+151,644",+3.08%,TMUS
"The Vanguard Group, Inc.",8.71%,"20,322,904","1,984,531,576","-59,074",-0.29%,TROW
BlackRock Fund Advisors,5.84%,"13,624,416","1,330,424,222","+285,342",+2.14%,TROW
"SSgA Funds Management, Inc.",5.61%,"13,085,883","1,277,836,475","-29,962",-0.23%,TROW
Fayez Sarofim & Co.,3.45%,"8,044,660","785,561,049","+2,400",+0.03%,TROW
"JPMorgan Investment Management, I...",3.40%,"7,933,267","774,683,523","-674,895",-7.84%,TROW
Geode Capital Management LLC,1.85%,"4,323,806","422,219,656","+137,273",+3.28%,TROW
Capital Research & Management Co....,1.81%,"4,211,312","411,234,617","-1,447,697",-25.58%,TROW
Massachusetts Financial Services ...,1.40%,"3,272,055","319,516,171","-60,631",-1.82%,TROW
"Northern Trust Investments, Inc.(...",1.20%,"2,808,601","274,259,888","+13,193",+0.47%,TROW
Norges Bank Investment Management,1.01%,"2,349,197","229,399,087","+7,099",+0.30%,TROW
"The Vanguard Group, Inc.",11.37%,"12,901,287","1,530,221,651","+733,602",+6.03%,TTWO
BlackRock Fund Advisors,5.23%,"5,931,564","703,542,806","+348,958",+6.25%,TTWO
"SSgA Funds Management, Inc.",4.64%,"5,259,664","623,848,747","+151,030",+2.96%,TTWO
Massachusetts Financial Services ...,3.14%,"3,562,690","422,570,661","+487,523",+15.85%,TTWO
Jackson Square Partners LLC,2.55%,"2,895,487","343,433,713","-112,079",-3.73%,TTWO
"JPMorgan Investment Management, I...",2.52%,"2,859,726","339,192,101","-276,813",-8.83%,TTWO
Fidelity Management & Research Co...,2.02%,"2,295,025","272,212,915","-176,008",-7.12%,TTWO
"Invesco Advisers, Inc.",1.99%,"2,257,696","267,785,323","-96,856",-4.11%,TTWO
Ivy Investment Management Co.,1.58%,"1,793,401","212,715,293","-239,298",-11.77%,TTWO
Geode Capital Management LLC,1.57%,"1,780,969","211,240,733","+67,012",+3.91%,TTWO
"The Vanguard Group, Inc.",11.18%,"30,865,334","399,706,075","-938,304",-2.95%,TPR
Fidelity Management & Research Co...,6.88%,"18,978,538","245,772,067","-86,099",-0.45%,TPR
"SSgA Funds Management, Inc.",5.22%,"14,415,500","186,680,725","+399,911",+2.85%,TPR
"T. Rowe Price Associates, Inc. (I...",5.20%,"14,355,968","185,909,786","-7,426,387",-34.09%,TPR
BlackRock Fund Advisors,4.77%,"13,159,316","170,413,142","-196,512",-1.47%,TPR
Newton Investment Management Ltd.,2.41%,"6,662,206","86,275,568","+1,135,352",+20.54%,TPR
The Caisse de d�p�t et placement ...,1.98%,"5,454,192","70,631,786","+610,977",+12.62%,TPR
Lazard Asset Management LLC,1.83%,"5,049,552","65,391,698","+1,342,635",+36.22%,TPR
Geode Capital Management LLC,1.72%,"4,739,261","61,373,430","+80,501",+1.73%,TPR
Dimensional Fund Advisors LP,1.40%,"3,855,752","49,931,988","+624,151",+19.31%,TPR
"SSgA Funds Management, Inc.",8.36%,"41,892,802","3,894,773,802","-1,463,942",-3.38%,TGT
"The Vanguard Group, Inc.",8.07%,"40,419,189","3,757,772,001","+249,667",+0.62%,TGT
BlackRock Fund Advisors,5.13%,"25,705,756","2,389,864,135","-526,357",-2.01%,TGT
Capital Research & Management Co....,3.21%,"16,063,975","1,493,467,756","-1,618,088",-9.15%,TGT
Wells Fargo Clearing Services LLC,1.65%,"8,248,625","766,874,666","-26,983",-0.33%,TGT
Geode Capital Management LLC,1.58%,"7,931,430","737,385,047","+306,093",+4.01%,TGT
Managed Account Advisors LLC,1.54%,"7,716,239","717,378,740","-832,997",-9.74%,TGT
"Northern Trust Investments, Inc.(...",1.38%,"6,908,631","642,295,424","-138,493",-1.97%,TGT
Columbia Management Investment Ad...,1.31%,"6,537,076","607,751,956","+3,664,726",+127.59%,TGT
LSV Asset Management,1.25%,"6,287,707","584,568,120","-430,531",-6.41%,TGT
Dodge & Cox,8.69%,"29,033,403","1,828,523,721","-1,768,434",-5.74%,TEL
"The Vanguard Group, Inc.",7.52%,"25,119,735","1,582,040,910","+97,110",+0.39%,TEL
Harris Associates LP,5.97%,"19,936,650","1,255,610,217","-687,054",-3.33%,TEL
"SSgA Funds Management, Inc.",3.85%,"12,857,587","809,770,829","+233,761",+1.85%,TEL
BlackRock Fund Advisors,3.47%,"11,582,700","729,478,446","+538,415",+4.88%,TEL
Capital Research & Management Co....,3.37%,"11,259,513","709,124,129","+720,186",+6.83%,TEL
ClearBridge Investments LLC,3.12%,"10,430,153","656,891,036","-1,625,573",-13.48%,TEL
Janus Capital Management LLC,2.57%,"8,576,718","540,161,700","+5,287",+0.06%,TEL
"T. Rowe Price Associates, Inc. (I...",2.38%,"7,943,484","500,280,622","-8,725,021",-52.34%,TEL
"EdgePoint Investment Group, Inc.",2.20%,"7,363,067","463,725,960","-121,823",-1.63%,TEL
First Eagle Investment Management...,7.21%,"32,271,892","217,512,552","+5,189,029",+19.16%,FTI
"Invesco Advisers, Inc.",7.07%,"31,622,316","213,134,410","-3,540,805",-10.07%,FTI
"The Vanguard Group, Inc.",6.38%,"28,553,856","192,452,989","+160,492",+0.57%,FTI
"SSgA Funds Management, Inc.",4.77%,"21,350,343","143,901,312","-1,638,854",-7.13%,FTI
BlackRock Fund Advisors,2.95%,"13,200,578","88,971,896","+15,496",+0.12%,FTI
Pzena Investment Management LLC,2.51%,"11,223,056","75,643,397","+3,445,844",+44.31%,FTI
Norges Bank Investment Management,2.32%,"10,393,877","70,054,731","-885,991",-7.85%,FTI
Columbia Management Investment Ad...,2.03%,"9,090,796","61,271,965","+3,066,508",+50.90%,FTI
Schroder Investment Management Lt...,1.95%,"8,706,792","58,683,778","-395,664",-4.35%,FTI
Platinum Investment Management Lt...,1.94%,"8,665,883","58,408,051",0,0.00%,FTI
"T. Rowe Price Associates, Inc. (I...",11.65%,"5,401,419","1,581,859,568","-767,694",-12.44%,TFX
"The Vanguard Group, Inc.",10.87%,"5,039,647","1,475,911,020","+28,570",+0.57%,TFX
BlackRock Fund Advisors,5.53%,"2,565,193","751,242,422","+121,719",+4.98%,TFX
Atlanta Capital Management Co. LL...,4.66%,"2,162,284","633,246,492","+16,148",+0.75%,TFX
"SSgA Funds Management, Inc.",4.11%,"1,907,226","558,550,206","+27,173",+1.45%,TFX
Wellington Management Co. LLP,2.92%,"1,351,544","395,813,176","-163,501",-10.79%,TFX
American Century Investment Manag...,2.34%,"1,084,735","317,675,492","+215,902",+24.85%,TFX
"Invesco Advisers, Inc.",2.17%,"1,006,587","294,789,069","+220,939",+28.12%,TFX
Janus Capital Management LLC,1.95%,"904,202","264,804,598","-52,296",-5.47%,TFX
BlackRock Advisors LLC,1.62%,"752,631","220,415,515","-2,903",-0.38%,TFX
"The Vanguard Group, Inc.",9.30%,"86,867,181","8,680,637,397","+1,278,470",+1.49%,TXN
BlackRock Fund Advisors,5.05%,"47,142,177","4,710,917,748","+841,931",+1.82%,TXN
"SSgA Funds Management, Inc.",4.30%,"40,104,285","4,007,621,200","+551,966",+1.40%,TXN
PRIMECAP Management Co.,3.40%,"31,768,642","3,174,640,395","-145,780",-0.46%,TXN
Massachusetts Financial Services ...,2.53%,"23,618,087","2,360,155,434","-240,592",-1.01%,TXN
"T. Rowe Price Associates, Inc. (I...",2.34%,"21,885,761","2,187,044,097","-1,395,268",-5.99%,TXN
"JPMorgan Investment Management, I...",2.16%,"20,194,097","2,017,996,113","+4,656,735",+29.97%,TXN
Geode Capital Management LLC,1.67%,"15,549,145","1,553,826,060","+489,248",+3.25%,TXN
Managed Account Advisors LLC,1.60%,"14,943,814","1,493,335,333","+740,043",+5.21%,TXN
Janus Capital Management LLC,1.48%,"13,779,953","1,377,030,703","-1,410,325",-9.28%,TXN
"T. Rowe Price Associates, Inc. (I...",13.98%,"31,834,742","849,032,569","+466,655",+1.49%,TXT
"The Vanguard Group, Inc.",10.87%,"24,744,134","659,926,054","-349,245",-1.39%,TXT
BlackRock Fund Advisors,6.42%,"14,603,459","389,474,252","+94,946",+0.65%,TXT
"SSgA Funds Management, Inc.",4.72%,"10,747,469","286,634,998","+251,345",+2.39%,TXT
"Victory Capital Management, Inc. ...",2.94%,"6,683,649","178,252,919","+871,313",+14.99%,TXT
"Invesco Advisers, Inc.",2.88%,"6,558,663","174,919,542","+455,867",+7.47%,TXT
PRIMECAP Management Co.,2.84%,"6,466,030","172,449,020","+201,395",+3.21%,TXT
LSV Asset Management,2.54%,"5,784,893","154,283,096","+54,216",+0.95%,TXT
Viking Global Investors LP,2.17%,"4,944,853","131,879,230","+4,944,853",--,TXT
Geode Capital Management LLC,1.59%,"3,620,974","96,571,377","+183,559",+5.34%,TXT
"The Vanguard Group, Inc.",7.65%,"30,502,204","8,650,425,054","+67,075",+0.22%,TMO
BlackRock Fund Advisors,4.83%,"19,272,798","5,465,765,513","-310,529",-1.59%,TMO
"SSgA Funds Management, Inc.",4.10%,"16,337,869","4,633,419,648","+224,799",+1.40%,TMO
"T. Rowe Price Associates, Inc. (I...",4.09%,"16,301,983","4,623,242,379","-772,368",-4.52%,TMO
Massachusetts Financial Services ...,4.05%,"16,143,412","4,578,271,643","-697,058",-4.14%,TMO
Capital Research & Management Co....,3.91%,"15,582,586","4,419,221,390","-39,392",-0.25%,TMO
Fidelity Management & Research Co...,3.02%,"12,043,171","3,415,443,296","-193,466",-1.58%,TMO
Capital Research & Management Co....,2.96%,"11,797,060","3,345,646,216","-237,594",-1.97%,TMO
Wellington Management Co. LLP,1.96%,"7,804,925","2,213,476,730","-509,625",-6.13%,TMO
Geode Capital Management LLC,1.39%,"5,540,921","1,571,405,196","+151,622",+2.81%,TMO
"The Vanguard Group, Inc.",10.86%,"13,155,426","1,703,627,667","+66,675",+0.51%,TIF
Qatar Investment Authority (Inves...,9.76%,"11,822,436","1,531,005,462",0,0.00%,TIF
"T. Rowe Price Associates, Inc. (I...",4.72%,"5,714,192","739,987,864","+237,644",+4.34%,TIF
BlackRock Fund Advisors,4.54%,"5,496,995","711,860,853","-10,109",-0.18%,TIF
"SSgA Funds Management, Inc.",3.83%,"4,637,503","600,556,639","-74,637",-1.58%,TIF
Goldman Sachs & Co. LLC (Private ...,3.28%,"3,978,595","515,228,053","+3,338,855",+521.91%,TIF
"JPMorgan Investment Management, I...",2.64%,"3,202,405","414,711,448","-2,599,590",-44.81%,TIF
"Franklin Advisers, Inc.",1.59%,"1,925,174","249,310,033","-374,342",-16.28%,TIF
First Eagle Investment Management...,1.45%,"1,751,051","226,761,105","-1,137,116",-39.37%,TIF
Geode Capital Management LLC,1.43%,"1,734,376","224,601,692","+105,017",+6.45%,TIF
"The Vanguard Group, Inc.",7.99%,"96,876,370","4,631,659,250","+456,553",+0.47%,TJX
Wellington Management Co. LLP,5.53%,"67,061,515","3,206,211,032","+1,670,691",+2.55%,TJX
BlackRock Fund Advisors,5.08%,"61,537,097","2,942,088,608","-3,901,290",-5.96%,TJX
"SSgA Funds Management, Inc.",4.74%,"57,448,001","2,746,588,928","-777,364",-1.34%,TJX
Fidelity Management & Research Co...,3.75%,"45,502,800","2,175,488,868","-1,736,221",-3.68%,TJX
Walter Scott & Partners Ltd.,1.60%,"19,347,974","925,026,637","-283,000",-1.44%,TJX
Geode Capital Management LLC,1.44%,"17,406,464","832,203,044","+763,029",+4.58%,TJX
AllianceBernstein LP,1.40%,"16,921,064","808,996,070","-828,900",-4.67%,TJX
"Northern Trust Investments, Inc.(...",1.35%,"16,345,281","781,467,885","-925,599",-5.36%,TJX
PRIMECAP Management Co.,1.28%,"15,502,148","741,157,696","-2,300",-0.01%,TJX
"The Vanguard Group, Inc.",10.88%,"12,626,095","1,067,536,332","-84,734",-0.67%,TSCO
BlackRock Fund Advisors,5.54%,"6,427,246","543,423,649","-457,392",-6.64%,TSCO
"SSgA Funds Management, Inc.",4.52%,"5,248,529","443,763,127","-105,335",-1.97%,TSCO
Massachusetts Financial Services ...,2.57%,"2,977,846","251,776,879","+186,767",+6.69%,TSCO
"JPMorgan Investment Management, I...",1.70%,"1,974,802","166,969,509","-445,188",-18.40%,TSCO
Geode Capital Management LLC,1.63%,"1,890,361","159,830,023","+29,489",+1.58%,TSCO
Champlain Investment Partners LLC,1.58%,"1,831,205","154,828,383","+330,460",+22.02%,TSCO
Ivy Investment Management Co.,1.50%,"1,743,119","147,380,711","-76,342",-4.20%,TSCO
AQR Capital Management LLC,1.32%,"1,526,255","129,044,860","+302,843",+24.75%,TSCO
"Amundi Pioneer Asset Management, ...",1.27%,"1,476,146","124,808,144","+280,205",+23.43%,TSCO
"The Vanguard Group, Inc.",7.37%,"17,563,581","1,450,576,155","-7,514",-0.04%,TT
BlackRock Fund Advisors,4.95%,"11,808,050","975,226,850","-784,300",-6.23%,TT
"SSgA Funds Management, Inc.",4.56%,"10,881,393","898,694,248","+13,679",+0.13%,TT
Wellington Management Co. LLP,3.11%,"7,422,388","613,015,025","+2,950,840",+65.99%,TT
Massachusetts Financial Services ...,2.81%,"6,702,374","553,549,069","-147,320",-2.15%,TT
Fidelity Management & Research Co...,2.14%,"5,103,611","421,507,232","+298,414",+6.21%,TT
"JPMorgan Investment Management, I...",1.80%,"4,294,291","354,665,494","+775,965",+22.05%,TT
Columbia Management Investment Ad...,1.74%,"4,152,186","342,929,042","+139,367",+3.47%,TT
"Invesco Advisers, Inc.",1.72%,"4,106,955","339,193,413","+146,933",+3.71%,TT
Norges Bank Investment Management,1.61%,"3,842,498","317,351,910","-113,987",-2.88%,TT
"The Vanguard Group, Inc.",10.07%,"5,409,190","1,731,968,546","+42,318",+0.79%,TDG
Capital Research & Management Co....,9.78%,"5,252,828","1,681,902,997","+61,927",+1.19%,TDG
BlackRock Fund Advisors,5.43%,"2,916,667","933,887,607","-50,213",-1.69%,TDG
Capital Research & Management Co....,5.28%,"2,834,900","907,706,631","+203,021",+7.71%,TDG
Fidelity Management & Research Co...,4.57%,"2,452,269","785,192,011","+36,497",+1.51%,TDG
Capital Research & Management Co....,4.22%,"2,266,730","725,784,279","+293,880",+14.90%,TDG
Principal Global Investors LLC,4.09%,"2,194,331","702,602,843","-19,431",-0.88%,TDG
"SSgA Funds Management, Inc.",3.92%,"2,106,701","674,544,593","-2,955",-0.14%,TDG
Tiger Global Management LLC,3.85%,"2,066,000","661,512,540",0,0.00%,TDG
Stockbridge Partners LLC,3.02%,"1,622,432","519,486,502","+469,782",+40.76%,TDG
"The Vanguard Group, Inc.",8.63%,"22,010,345","2,186,727,776","+75,220",+0.34%,TRV
"SSgA Funds Management, Inc.",6.88%,"17,549,885","1,743,581,075","-184,492",-1.04%,TRV
BlackRock Fund Advisors,5.18%,"13,199,762","1,311,396,355","+216,831",+1.67%,TRV
Massachusetts Financial Services ...,4.65%,"11,855,279","1,177,821,969","-334,733",-2.75%,TRV
Fidelity Management & Research Co...,3.46%,"8,831,489","877,408,432","+2,088,955",+30.98%,TRV
"JPMorgan Investment Management, I...",2.03%,"5,179,858","514,618,892","+8,003",+0.15%,TRV
Wellington Management Co. LLP,1.49%,"3,794,739","377,007,320","-27,052",-0.71%,TRV
ClearBridge Investments LLC,1.45%,"3,696,243","367,221,742","-63,509",-1.69%,TRV
Geode Capital Management LLC,1.40%,"3,578,861","355,559,840","+84,976",+2.43%,TRV
"Boston Partners Global Investors,...",1.37%,"3,491,860","346,916,291","-536,294",-13.31%,TRV
"The Vanguard Group, Inc.",7.85%,"105,588,059","3,256,335,740","+380,376",+0.36%,TFC
BlackRock Fund Advisors,4.67%,"62,759,488","1,935,502,610","-2,968,083",-4.52%,TFC
"SSgA Funds Management, Inc.",4.39%,"59,059,430","1,821,392,821","-1,246,965",-2.07%,TFC
Massachusetts Financial Services ...,2.48%,"33,330,124","1,027,901,024","+833,763",+2.57%,TFC
Managed Account Advisors LLC,2.44%,"32,805,434","1,011,719,585","-262,218",-0.79%,TFC
Capital Research & Management Co....,2.12%,"28,527,014","879,773,112","+2,611,185",+10.08%,TFC
Dodge & Cox,1.94%,"26,102,026","804,986,482","+1,363,088",+5.51%,TFC
"JPMorgan Investment Management, I...",1.88%,"25,231,710","778,145,936","-686,086",-2.65%,TFC
Fidelity Management & Research Co...,1.83%,"24,557,067","757,339,946","+772,338",+3.25%,TFC
Geode Capital Management LLC,1.38%,"18,528,592","571,421,777","-567,298",-2.97%,TFC
"The Vanguard Group, Inc.",10.19%,"79,772,970","1,959,224,143","-714,668",-0.89%,TWTR
Morgan Stanley Investment Managem...,5.81%,"45,488,820","1,117,205,419","+933,914",+2.10%,TWTR
BlackRock Fund Advisors,4.82%,"37,772,487","927,692,281","+754,752",+2.04%,TWTR
"SSgA Funds Management, Inc.",4.29%,"33,590,685","824,987,224","+90,577",+0.27%,TWTR
ClearBridge Investments LLC,3.19%,"24,949,321","612,755,324","-1,841,815",-6.87%,TWTR
Coatue Management LLC,2.49%,"19,471,142","478,211,248","+16,227,363",+500.26%,TWTR
Aristotle Capital Management LLC,1.95%,"15,254,332","374,646,394","+5,035,456",+49.28%,TWTR
Geode Capital Management LLC,1.48%,"11,557,242","283,845,864","+529,003",+4.80%,TWTR
"Northern Trust Investments, Inc.(...",1.47%,"11,533,632","283,266,002","-112,757",-0.97%,TWTR
First Trust Advisors LP,1.10%,"8,617,035","211,634,380","+1,727,024",+25.07%,TWTR
"The Vanguard Group, Inc.",9.33%,"27,524,620","1,592,849,759","+225,715",+0.83%,TSN
"T. Rowe Price Associates, Inc. (I...",9.32%,"27,505,162","1,591,723,725","-8,582,386",-23.78%,TSN
BlackRock Fund Advisors,5.11%,"15,081,589","872,771,555","+351,362",+2.39%,TSN
"SSgA Funds Management, Inc.",4.89%,"14,426,872","834,883,083","+20,772",+0.14%,TSN
